codCred,nomeTurma,numeroTurma,vagas,horario
11521-04,HUMANISMO E CULTURA RELIGIOSA,168,3,2LM 4NP
1501A-04,ETICA E CIDADANIA,168,3,6LM 6NP
24135-02,LEGISLACAO EM INFORMATICA,168,3,3LM
2540L-04,EMPREENDIMENTOS EMPRESARIAIS,168,3,3LM 5LM
254AU-04,GOVERNANCA ESTRATEGICA EM TI,168,3,6LM 6NP
254PF-04,FUNDAMENTOS APLICADOS DA ADMINISTRACAO,168,3,4NP 6NP
254PG-02,COMPORTAMENTO ORGANIZACIONAL,168,3,5LM
4115H-04,CALCULO A,168,3,3NP 5NP
4115L-02,MATEMATICA DISCRETA - SI,168,3,6NP
41238-04,METODOS ESTATISTICOS,168,3,3NP 5NP
4611C-06,FUNDAMENTOS DE PROGRAMACAO,168,3,2LM 4LM 6LM
4611D-02,LABORATORIO DE BANCO DE DADOS,168,3,6NP
4611E-04,LOGICA PARA COMPUTACAO,168,3,3LM 5LM
4611F-04,PROGRAMACAO ORIENTADA A OBJETOS,168,3,2LM 4LM
4611H-02,SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS,168,3,2NP
4611H-02,SISTEMAS DE GERENCIAMENTO DE BANCO DE DADOS,178,3,2LM
4633C-02,TOPICOS DE GERENCIA DE PROJ DE SOFTWARE,168,3,3LM
4633D-04,DESENVOLVIMENTO DE SISTEMAS,168,3,3NP 5NP
4633I-02,TOPICOS ESPEC EM ENGENHARIA DE SOFTWARE,168,3,5LM
4636B-04,ARQUITETURA ORGANIZACIONAL APLICADA A SI,168,3,3LM 5LM
4636C-04,AUDITORIA E SEG DE SISTEMAS DE INFORMACAO,168,3,2LM 4LM
4636D-02,AVALIACAO DE DESEMPENHO DE SISTEMAS,168,3,4LM
4636D-02,AVALIACAO DE DESEMPENHO DE SISTEMAS,178,3,4NP
4636F-02,ENGENHARIA DE SOFTWARE,168,3,6LM
4636H-04,FUNDAMENTOS DE DESENVOLVIMENTO DE SOFTWARE,168,3,3LM 5LM
4636H-04,FUNDAMENTOS DE DESENVOLVIMENTO DE SOFTWARE,178,3,3NP 5NP
4636K-04,FUNDAMENTOS DE REDES DE COMPUTADORES,168,3,3NP 6NP
4636K-04,FUNDAMENTOS DE REDES DE COMPUTADORES,178,3,3LM 5LM
4636L-04,GERENCIA DE PROJETOS DE TI,168,3,6LM 6NP
636L-04,GERENCIA DE PROJETOS DE TI,178,3,2LM 2NP
4636M-02,GERENCIA DE REDES DE COMPUTADORES,168,3,4NP
4636M-02,GERENCIA DE REDES DE COMPUTADORES,178,3,3NP
4636N-04,INFRAESTRUTURA DE TECNOLOGIA DA INFORMACAO,168,3,3NP 5NP
4636N-04,INFRAESTRUTURA DE TECNOLOGIA DA INFORMACAO,178,3,3LM 5LM
4636P-04,DISCIPLINA INTEGRADORA I,168,3,5LM 5NP
4636Q-04,DISCIPLINA INTEGRADORA II,168,3,4LM 4NP
4636P-04,DISCIPLINA INTEGRADORA I,178,3,2LM 2NP
4636Q-04,DISCIPLINA INTEGRADORA II,178,3,3LM 5NP
4636R-04,INTELIGENCIA DE NEGOCIO,168,3,3NP 5NP
4636T-04,INTERACAO HUMANO-COMPUTADOR,168,3,3NP 5NP
4636U-04,INTRODUCAO A SISTEMAS DE INFORMACAO,168,3,3LM 5LM
4636X-04,MODELAGEM DE NEGOCIO,168,3,2NP 4NP
4636Z-04,PLANEJAMENTO E GESTAO ESTRATEGICA DE TI,168,3,2LM 4LM
4637A-02,PRATICA PROFISSIONAL - 360H,168,3,7AB
4637B-04,PROGRAMACAO DE SOFTWARE APLICADO,168,3,2LM 4LM
4637C-04,PROJETO E DESENVOLVIMENTO DE SOFTWARE,168,3,2NP 4NP
4637E-02,QUALIDADE DE PRODUTO,168,3,2NP
4637F-04,SISTEMAS DE INFORMACAO INTEGRADOS,168,3,3NP 5NP
4637G-04,SISTEMAS DISTRIBUIDOS,168,3,3LM 5LM
4637H-04,SISTEMAS OPERACIONAIS,168,3,3LM 6LM
4637J-02,TEORIA DA COMPUTACAO,168,3,2NP
4637K-02,TOPICOS AVANCADOS EM GESTAO DE DADOS,168,3,2LM
4637L-04,TRABALHO DE CONCLUSAO I,168,3,7CDEY
4637M-04,TRABALHO DE CONCLUSAO II,168,3,6ABCD
4637N-02,ARQUITETURA DE COMPUTADORES,168,3,6LM
4637P-02,FUNDAMENTOS DA COMPUTACAO,168,3,2NP
46506-04,ENGENHARIA DE REQUISITOS,168,3,2NP 4NP
46520-04,MODELAGEM E PROJETO DE BANCO DE DADOS,168,3,2LM 4LM
